provider_code,station_code,station_name,latitude,longitude,altitude_m
ana,2650035,UHE ITA CACADOR PLU,-26.8192,-50.9856,960
ana,2751066,PARQUE DE EVENTOS PINHAL DA SERRA,-27.8792,-51.1769,0
ana,2752032,UHE FOZ DO CHAPECO NONOAI,-27.3325,-52.7872,594
ana,2752035,UHE ITA ERECHIM PLU,-27.6575,-52.3203,767
ana,2753029,UHE FOZ DO CHAPECO CAIBI,-27.0747,-53.2392,369
ana,2753058,CGH LINHA GRANJA VELHA BARRAMENTO,-27.4267,-53.5400,277
ana,2849066,POUSADA APARADOS DA SERRA MONTE NEGRO,-28.6063,-49.8205,2
ana,2850045,VACARIA,-28.4897,-50.9361,956
ana,2851044,GUAPORE,-28.8444,-51.8792,520
ana,2851061,UHE MACHADINHO LAGOA VERMELHA,-28.2222,-51.5125,805
ana,2851072,IBIRAIARAS,-28.3811,-51.6331,788
ana,2851080,CGH SAO DOMINGOS DO PRATA BARRAMENTO,-28.8092,-51.7364,411
ana,2852004,AULER,-28.8039,-52.3817,700
ana,2852057,UHE PASSO FUNDO PLU,-28.2267,-52.4033,684
ana,2852079,CGH LINHA CURUCU JUSANTE,-28.8522,-52.6867,499
ana,2853056,CGH JOAO DO PASSO BARRAMENTO,-28.2450,-53.4156,439
ana,2853058,CGH MOINHO BARRAMENTO,-28.5439,-53.8114,0
ana,2854039,CGH COOPERMIL JUSANTE,-28.1389,-54.5464,245
ana,2950045,CAPAO DOS COXOS,-29.4083,-50.5842,890
ana,2950109,PQ. APARADOS DA SERRA CAMBAR? DO SUL,-29.1585,-50.0788,2
ana,2951142,MORRO REUTER,-29.5289,-51.0369,492
ana,2952065,FAZ. SAO JOSE LINHA CARVALHO,-29.3822,-52.7158,0
ana,2954044,FAZENDA SANTA TEREZA S.F. DE ASSIS,-29.3278,-54.9475,0
ana,2954045,AGRP. SANTO ANT?NIO JARI,-29.2257,-54.1925,2
ana,3051074,ZONA DOS PACHECOS,-30.5053,-51.9003,0
ana,3054028,AGROP. SEGREDO - MARCO DAS AGUAS,-30.7478,-54.1375,0
ana,3055003,FAZENDA ENCERRA,-30.6956,-55.8414,300
ana,3055019,CERRO DO COMBATE,-30.5469,-55.3197,0
ana,70120000,UHE BARRA GRANDE FAXINAL PRETO,-28.4456,-49.8975,925
ana,70150000,UHE BARRA GRANDE PASSO DO HONORATO,-28.3944,-50.5756,691
ana,70305100,PCH BOA VISTA BARRAMENTO,-28.1964,-50.1731,880
ana,70371000,CGH WILLY FALLER MONTANTE,-27.7769,-50.9481,926
ana,70600000,UHE BARRA GRANDE VACAS GORDAS,-28.0200,-50.7822,719
ana,70610000,UHE BARRA GRANDE PELOTINHAS,-28.2883,-50.6431,719
ana,70710000,UHE BARRA GRANDE SANTANA,-28.2628,-50.7608,872
ana,70720000,UHE BARRA GRANDE SOCORRO,-28.2869,-50.8333,811
ana,70840080,UHE BARRA GRANDE BARRAMENTO,-27.7800,-51.1917,0
ana,70841500,PCH MOINHO MONTANTE,-28.0819,-51.2583,826
ana,70842000,PCH ESMERALDA MONTANTE 2,-27.9631,-51.3375,774
ana,70844200,PCH ESMERALDA MONTANTE 1,-27.8197,-51.3753,700
ana,70845000,PCH SAO BERNARDO BARRAMENTO,-27.7381,-51.3133,525
ana,71200000,VILA CANOAS,-27.8028,-49.7786,837
ana,71300000,RIO BONITO,-27.7022,-49.8400,839
ana,71350001,ENCRUZILHADA II,-27.5078,-50.1128,824
ana,71383300,UHE CAMPOS NOVOS MONTANTE 1,-27.4858,-50.3917,821
ana,71388000,PCH PERY BARRAMENTO,-27.4564,-50.6439,802
ana,71491100,CGH MAROMBAS I MONTANTE 2,-27.2008,-50.5625,867
ana,71491800,CGH MAROMBAS I MONTANTE 1,-27.1922,-50.6175,860
ana,71491900,CGH MAROMBAS I BARRAMENTO,-27.1961,-50.6175,857
ana,71492100,CGH MAROMBAS II BARRAMENTO,-27.2044,-50.6350,838
ana,71497000,UHE CAMPOS NOVOS RIO MAROMBAS,-27.2250,-50.7339,785
ana,71539800,UHE SAO ROQUE BARRAMENTO,-27.4950,-50.8078,799
ana,71540000,UHE GARIBALDI MONTANTE 1,-27.5169,-50.8322,707
ana,71620200,DCSC RIO CAVEIRAS,-27.8436,-50.3297,884
ana,71647000,UHE CAMPOS NOVOS RIO CAVEIRAS,-27.6711,-50.7097,742
ana,71655000,UHE GARIBALDI MONTANTE 2,-27.6339,-50.7806,717
ana,71700000,UHE GARIBALDI BARRAMENTO,-27.6264,-50.9858,705
ana,71840000,UHE CAMPOS NOVOS BARRAMENTO,-27.6064,-51.3256,0
ana,71900000,CGH PITO BARRAMENTO,-27.5828,-51.3539,685
ana,72080000,PCH OURO MONTANTE,-27.6433,-51.4889,600
ana,72428000,UHE MACHADINHO RIO FORQUILHA,-27.8786,-51.7542,575
ana,72451000,PCH FORQUILHA IV BARRAMENTO,-27.6147,-51.7508,510
ana,72480001,PCH FORQUILHA BARRAMENTO,-27.6589,-51.7483,533
ana,72700000,UHE MACHADINHO JUSANTE,-27.5206,-51.8108,372
ana,72715000,RIO DAS ANTAS,-26.8958,-51.0756,773
